"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that username in mixed case should pass (case-insensitive).","4862","test_username_mixed_case_should_pass","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Login as admin and navigate to Reports. Expect the reports page to load (URL or header visible).","16990","Reports: Page loads","tests","2025-12-24","passed","2025-12-24","TestReports","test_reports","",""
"Test that spaces at both ends of username are trimmed and login succeeds.","4889","test_username_with_spaces_at_both_ends_should_pass","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Open create task form and verify form elements are present.","175588","Tasks: Create form elements","tests","2025-12-24","skipped","2025-12-24","TestTasks","test_tasks","",""
"Test partial match in search.","20829","test_search_partial_match","tests","2025-12-24","passed","2025-12-24","TestSearchComprehensive","test_search_comprehensive","",""
"Fill the new user form and verify inputs accept values.","30509","Users: Fill create form","tests","2025-12-24","passed","2025-12-24","TestUsers","test_users","",""
"Test settings Profile tab.","17715","test_settings_profile_tab","tests","2025-12-22","passed","2025-12-22","TestTabsPagesComprehensive","test_tabs_pages_comprehensive","",""
"Test that user can login again after logout.","93677","test_logout_and_login_again","tests","2025-12-24","passed","2025-12-24","TestNavigation","test_navigation","",""
"Create a task with minimum required fields and ensure creation completes.","112572","Tasks: Add new task (minimum fields)","tests","2025-12-24","failed","2025-12-24","TestTasksComprehensive","test_tasks_comprehensive","",""
"Test multiple consecutive failed login attempts.","42582","test_multiple_failed_login_attempts","tests","2025-12-24","passed","2025-12-24","TestInvalidLogin","test_invalid_login","",""
"Apply a priority filter and verify task list updates.","22873","Tasks: Priority filter","tests","2025-12-24","passed","2025-12-24","TestTasks","test_tasks","",""
"Test deleting report with confirmation.","17735","test_delete_report_with_confirmation","tests","2025-12-24","passed","2025-12-24","TestReportsComprehensive","test_reports_comprehensive","",""
"Click the reports next page button and verify that the page changes (URL or first item).","17599","Pagination: Reports - Next page","tests","2025-12-24","passed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"Test create report button opens form.","26142","test_create_report_button_functionality","tests","2025-12-24","skipped","2025-12-24","TestReportsComprehensive","test_reports_comprehensive","",""
"Open a task details view and verify it appears.","21844","Tasks: View details","tests","2025-12-24","passed","2025-12-24","TestTasksComprehensive","test_tasks_comprehensive","",""
"Test that session persists across page interactions.","20154","test_session_persistence_workflow","tests","2025-12-24","passed","2025-12-24","TestEndToEnd","test_end_to_end","",""
"Test that dashboard elements are responsive.","12166","test_dashboard_responsive_elements","tests","2025-12-24","passed","2025-12-24","TestDashboardComprehensive","test_comprehensive_dashboard","",""
"Test canceling settings changes.","17925","test_settings_cancel_functionality","tests","2025-12-23","passed","2025-12-23","TestSettings","test_settings","",""
"Test search is case insensitive.","21572","test_search_case_insensitive","tests","2025-12-24","passed","2025-12-24","TestSearchComprehensive","test_search_comprehensive","",""
"Apply multiple status filters and verify UI remains stable and responsive.","32514","Tasks: Filter by status","tests","2025-12-24","passed","2025-12-24","TestTasksComprehensive","test_tasks_comprehensive","",""
"Test that unauthorized user cannot access tasks section.","43829","test_unauthorized_user_tasks_access","tests","2025-12-24","passed","2025-12-24","TestUnauthorizedAccess","test_unauthorized_access","",""
"Open edit for an existing user, change a field, save, and verify the changes persist in the list or details.","27198","Users: Edit existing user","tests","2025-12-24","passed","2025-12-24","TestUsersCRUDComprehensive","test_users_crud_comprehensive","",""
"Test email format validation.","42940","test_email_format_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Test navigation elements on dashboard.","16457","test_dashboard_navigation","tests","2025-12-24","passed","2025-12-24","TestDashboardComprehensive","test_comprehensive_dashboard","",""
"Test editing an existing report.","17691","test_edit_report_functionality","tests","2025-12-24","passed","2025-12-24","TestReportsComprehensive","test_reports_comprehensive","",""
"Navigate settings tabs and perform a profile update action, ensuring no errors.","14478","Workflow: Settings end-to-end","tests","2025-12-24","failed","2025-12-24","TestCompleteWorkflow","test_complete_workflow","",""
"Test full application access for both user types.","7499","test_full_application_access_both_users[kranjith@codezyng.com-test1234]","tests","2025-12-22","passed","2025-12-22","TestCompleteWorkflow","test_complete_workflow","",""
"","1431","test_dashboard_url_blocked_without_login","tests","2025-12-24","passed","2025-12-24","","test_login","",""
"Test password change in security settings.","16106","test_security_settings_password_change","tests","2025-12-23","passed","2025-12-23","TestSettings","test_settings","",""
"Test required field validation.","3591","test_required_field_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Tabbing through interactive elements should move focus to focusable controls or the page should expose focusable elements.","5641","Accessibility: Keyboard navigation changes focus","tests","2025-12-24","passed","2025-12-24","TestAccessibility","test_accessibility","",""
"Enter an extremely long email and verify the app handles it gracefully (error or stay on login).","2837","Edge: Extremely long email handling","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test that password with different case should fail (password is case-sensitive).","7502","test_password_case_sensitive_mixed_case_should_fail","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Test full workflow for both user types.","7563","test_full_workflow_both_users[shishir@codezyng.com-test1234]","tests","2025-12-22","passed","2025-12-22","TestEndToEnd","test_end_to_end","",""
"Test switching between different user accounts.","83103","test_multiple_user_sessions","tests","2025-12-24","passed","2025-12-24","TestEndToEnd","test_end_to_end","",""
"Test browser caching effectiveness.","3813","test_caching_effectiveness","tests","2025-12-24","passed","2025-12-24","TestPerformance","test_performance","",""
"Test login with SQL injection attempts.","38497","test_login_with_sql_injection_attempt","tests","2025-12-24","passed","2025-12-24","TestInvalidLogin","test_invalid_login","",""
"Test login with various credential combinations.","7485","test_login_with_different_credentials[shashwatrane@codezyng.com--False]","tests","2025-12-24","passed","2025-12-24","TestLoginComprehensive","test_comprehensive_login","",""
"Test various combinations of username and password normalization.","8039","test_various_username_password_combinations[kranjith@codezyng.com-  TEST1234  -False]","tests","2025-12-22","passed","2025-12-22","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Submit empty email and ensure the app does not navigate to dashboard and shows validation.","2142","Edge: Empty input handling","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test that users page loads correctly.","16082","test_users_page_loads","tests","2025-12-24","passed","2025-12-24","TestUsers","test_users","",""
"Test filtering users after adding new user.","27987","test_filter_users_after_adding","tests","2025-12-22","passed","2025-12-22","TestUsersCRUDComprehensive","test_users_crud_comprehensive","",""
"
Dashboard should be reachable after admin login
","19902","test_dashboard_visible_after_admin_login","tests","2025-12-24","broken","2025-12-24","","test_login","",""
"Test that unauthorized user sees restricted navigation.","113456","test_unauthorized_user_navigation_restrictions","tests","2025-12-24","passed","2025-12-24","TestUnauthorizedAccess","test_unauthorized_access","",""
"Submit whitespace-only inputs and verify they are rejected or do not navigate to dashboard.","4460","Edge: Whitespace-only input","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test difference between authorized and unauthorized credentials.","11943","test_unauthorized_vs_authorized_credentials","tests","2025-12-24","passed","2025-12-24","TestUnauthorizedAccess","test_unauthorized_access","",""
"If pagination controls exist, navigate and verify the UI responds.","105320","Tasks: Pagination","tests","2025-12-24","passed","2025-12-24","TestTasks","test_tasks","",""
"Verify dashboard displays last-updated timestamp or related text for reviewer clarity.","17831","Dashboard: Last updated info","tests","2025-12-24","passed","2025-12-24","TestDashboardElements","test_dashboard_elements","",""
"Test various combinations of username and password normalization.","4912","test_various_username_password_combinations[  SHASHWATRANE@CODEZYNG.COM  -  test1234  -True]","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"
Backend trims spaces and normalizes email case
","17538","test_login_with_trimmed_and_uppercase_email[ kranjith@codezyng.com  -test1234]","tests","2025-12-24","broken","2025-12-24","","test_login","",""
"Test password strength validation.","9055","test_password_strength_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Test that unauthorized user cannot access reports section.","43787","test_unauthorized_user_reports_access","tests","2025-12-24","passed","2025-12-24","TestUnauthorizedAccess","test_unauthorized_access","",""
"Test file upload restrictions.","8933","test_file_upload_security","tests","2025-12-24","passed","2025-12-24","TestSecurity","test_security","",""
"Login as admin and navigate to Branches. Expect the branch listing to load (URL or header visible).","18143","Branch: Page loads","tests","2025-12-24","passed","2025-12-24","TestBranch","test_branch","",""
"Verify that paginating updates the browser URL or contains a page query parameter.","16956","Pagination: URL updates on navigation","tests","2025-12-24","passed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"
Login page should load successfully
","1548","test_login_page_loads","tests","2025-12-24","passed","2025-12-24","","test_login","",""
"Search for tasks and verify the results are filtered or the search input accepts entries.","20602","Tasks: Search filters results","tests","2025-12-24","passed","2025-12-24","TestTasks","test_tasks","",""
"Test dashboard access with both user accounts.","11622","test_dashboard_access_with_both_users[shashwatrane@codezyng.com-test1234]","tests","2025-12-24","passed","2025-12-24","TestDashboardComprehensive","test_comprehensive_dashboard","",""
"Navigate to another page then click First to return to page one (verify by URL or content).","17306","Pagination: First page button","tests","2025-12-24","passed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"Test that dashboard has all expected elements.","14087","test_dashboard_elements_present","tests","2025-12-24","passed","2025-12-24","TestDashboardComprehensive","test_comprehensive_dashboard","",""
"Verify main content area, page load status, and URL/title for the dashboard page.","17949","Dashboard: Page structure & load","tests","2025-12-24","failed","2025-12-24","TestDashboardElements","test_dashboard_elements","",""
"Test that settings page works after refresh.","16298","test_settings_page_refresh","tests","2025-12-23","passed","2025-12-23","TestSettings","test_settings","",""
"Test settings Security tab.","17642","test_settings_security_tab","tests","2025-12-22","passed","2025-12-22","TestTabsPagesComprehensive","test_tabs_pages_comprehensive","",""
"Test login with invalid email format.","15985","test_login_with_invalid_email","tests","2025-12-24","passed","2025-12-24","TestInvalidLogin","test_invalid_login","",""
"Test numeric field validation.","8909","test_numeric_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Test case sensitivity - username is case-insensitive, password is case-sensitive.","28925","test_case_sensitivity_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Test special character handling in inputs.","4472","test_special_character_handling","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
"Open a task detail and verify a modal or detail view opens.","21791","Tasks: View task detail","tests","2025-12-24","passed","2025-12-24","TestTasks","test_tasks","",""
"Apply a status filter and verify the task list updates accordingly.","22410","Tasks: Status filter","tests","2025-12-24","passed","2025-12-24","TestTasks","test_tasks","",""
"Test dashboard load performance.","10801","test_dashboard_load_performance","tests","2025-12-24","passed","2025-12-24","TestPerformance","test_performance","",""
"Check whether the 'Create report' control is present for the current user (may vary by permissions).","20165","Reports: Create button presence","tests","2025-12-24","passed","2025-12-24","TestReports","test_reports","",""
"Test login with XSS attack attempts.","29129","test_login_with_xss_attempt","tests","2025-12-24","passed","2025-12-24","TestInvalidLogin","test_invalid_login","",""
"Test open redirect vulnerability.","7935","test_open_redirect_vulnerability","tests","2025-12-24","passed","2025-12-24","TestSecurity","test_security","",""
"Navigate forward until Next is disabled (or not visible) indicating last page reached.","34319","Pagination: Next disabled on last page","tests","2025-12-24","passed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"Test searching users by email.","21099","test_search_users_by_email","tests","2025-12-24","passed","2025-12-24","TestSearchComprehensive","test_search_comprehensive","",""
"Test login with very long email and password.","8647","test_login_with_very_long_credentials","tests","2025-12-24","passed","2025-12-24","TestInvalidLogin","test_invalid_login","",""
"Test direct URL access to branch page when logged in.","14781","test_branch_direct_url_access","tests","2025-12-24","skipped","2025-12-24","TestBranch","test_branch","",""
"Login as different user roles and verify the user can access at least one major section.","5486","Access: Full app access check for shishir@codezyng.com","tests","2025-12-24","failed","2025-12-24","TestCompleteWorkflow","test_complete_workflow","",""
"Enter Unicode-containing emails and verify the app handles or rejects them cleanly.","3937","Edge: Unicode input handling","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test error handling when switching tabs.","18446","test_tab_errors_handling","tests","2025-12-22","passed","2025-12-22","TestTabsPagesComprehensive","test_tabs_pages_comprehensive","",""
"","5517","test_user_login_not_authorized","tests","2025-12-24","passed","2025-12-24","","test_login","",""
"Test login with uppercase email (should be normalized).","4840","test_login_with_uppercase_email","tests","2025-12-24","passed","2025-12-24","TestLoginComprehensive","test_comprehensive_login","",""
"Apply a location filter and verify the branch list updates (count decreases or remains stable).","20327","Branch: Location filter","tests","2025-12-24","skipped","2025-12-24","TestBranch","test_branch","",""
"Trigger a page reload during an in-flight action (login flow) and ensure the app recovers or remains stable.","3315","Edge: Refresh during action","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test that dashboard works correctly after page refresh.","20384","test_dashboard_refresh","tests","2025-12-24","passed","2025-12-24","TestDashboardComprehensive","test_comprehensive_dashboard","",""
"Test SQL injection protection in email field.","56981","test_sql_injection_in_login_email","tests","2025-12-24","passed","2025-12-24","TestSecurity","test_security","",""
"
Backend trims spaces and normalizes email case
","18082","test_login_with_trimmed_and_uppercase_email[KRANJITH@CODEZYNG.COM-test1234]","tests","2025-12-24","broken","2025-12-24","","test_login","",""
"Test various combinations of username and password normalization.","4879","test_various_username_password_combinations[  shashwatrane@codezyng.com  -test1234-True]","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Navigate next/previous in tasks pagination and verify UI responds.","191350","Tasks: Pagination","tests","2025-12-24","passed","2025-12-24","TestTasksComprehensive","test_tasks_comprehensive","",""
"Click numeric page buttons (if present) and verify navigation occurs by URL or content change.","14504","Pagination: Click specific page numbers","tests","2025-12-24","passed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"Navigate to Reports, apply search and date filters, and view a report if present.","21164","Workflow: Reports end-to-end","tests","2025-12-24","passed","2025-12-24","TestCompleteWorkflow","test_complete_workflow","",""
"Test login with various credential combinations.","7498","test_login_with_different_credentials[kranjith@codezyng.com--False]","tests","2025-12-22","passed","2025-12-22","TestLoginComprehensive","test_comprehensive_login","",""
"Test that dashboard works correctly after page refresh.","2435","test_dashboard_refresh","","2025-12-18","passed","2025-12-18","","","",""
"Click branches next page and verify the page changes (URL or first branch row).","14107","Pagination: Branches - Next page","tests","2025-12-24","skipped","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"Ensure the <html> element has a lang attribute so assistive technologies announce content in the correct language.","2652","Accessibility: HTML document specifies language","tests","2025-12-24","passed","2025-12-24","TestAccessibility","test_accessibility","",""
"Open the app at very small and very large viewport sizes and ensure the login form remains accessible.","2762","Edge: Extreme viewport sizes","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Navigate to main application sections (dashboard, tasks, reports, users, branches, settings) and verify pages load or at least some are accessible.","48183","Workflow: Navigate main application sections","tests","2025-12-24","passed","2025-12-24","TestCompleteWorkflow","test_complete_workflow","",""
"Attempt to set a past due date and verify validation prevents submission or UI shows errors.","114310","Tasks: Due date validation","tests","2025-12-24","passed","2025-12-24","TestTasksComprehensive","test_tasks_comprehensive","",""
"Test that spaces at end of password are trimmed and login succeeds.","4870","test_password_with_spaces_at_end_should_pass","tests","2025-12-24","passed","2025-12-24","TestUsernamePasswordNormalization","test_username_password_normalization","",""
"Check for headings, landmarks, forms, and interactive elements to ensure screen readers can navigate the page.","3562","Accessibility: Page exposes semantic landmarks and interactive elements","tests","2025-12-24","passed","2025-12-24","TestAccessibility","test_accessibility","",""
"Test switching between settings tabs.","15216","test_settings_tabs_switching","tests","2025-12-23","passed","2025-12-23","TestSettings","test_settings","",""
"Pages with multiple landmark regions should provide a skip-to-main link to improve keyboard navigation.","2613","Accessibility: Skip links present on complex pages","tests","2025-12-24","passed","2025-12-24","TestAccessibility","test_accessibility","",""
"Test data displays correctly.","11620","test_data_display","tests","2025-12-24","passed","2025-12-24","TestPositiveCases","test_positive_cases","",""
"Test direct URL access to settings page when logged in.","15298","test_settings_direct_url_access","tests","2025-12-23","skipped","2025-12-23","TestSettings","test_settings","",""
"Navigate to the next branch page and then back to previous, verifying navigation.","245903","Pagination: Branches - Previous page","tests","2025-12-24","failed","2025-12-24","TestPaginationComprehensive","test_pagination_comprehensive","",""
"After successful login, navigate back and ensure the app handles the browser back button without error.","6436","Edge: Browser back button behavior","tests","2025-12-24","passed","2025-12-24","TestEdgeCases","test_edge_cases","",""
"Test saving settings changes.","15190","test_settings_save_functionality","tests","2025-12-23","passed","2025-12-23","TestSettings","test_settings","",""
"Test pagination - selecting specific page number.","16949","test_pagination_page_number_selection","tests","2025-12-24","passed","2025-12-24","TestReportsComprehensive","test_reports_comprehensive","",""
"Navigate directly to /reports while logged in and verify the page loads.","16584","Reports: Direct URL access","tests","2025-12-24","passed","2025-12-24","TestReports","test_reports","",""
"Test page load performance.","1543","test_page_load_performance","tests","2025-12-24","passed","2025-12-24","TestUIElements","test_ui_elements","",""
"Test keyboard navigation between tabs.","18023","test_tab_keyboard_navigation","tests","2025-12-22","passed","2025-12-22","TestTabsPagesComprehensive","test_tabs_pages_comprehensive","",""
"Create a new user with all fields filled and verify it appears in the users list after save.","37838","Users: Create new user with complete form","tests","2025-12-24","passed","2025-12-24","TestUsersCRUDComprehensive","test_users_crud_comprehensive","",""
"Test date field validation.","8841","test_date_validation","tests","2025-12-24","passed","2025-12-24","TestDataValidation","test_data_validation","",""
